#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,,,,,,,,,,,,,,,,,,,,
,World,379458555,672399,5693849,2100,299451191,579907,74313515,92903,48681,731,,,,All,"
153,Bahamas,32562,,746,,24435,,7381,9,81571,1869,209681,525271,399186,North America,12,535,2,,,"18,490"
,,,,,,,,,,,,,,,,,,,,,
154,Lesotho,32176,,693,,21484,,9999,,14834,319,376381,173519,2169105,Africa,67,"3,130",6,,,"4,610"
,,,,,,,,,,,,,,,,,,,,,
155,Mali,30052,,714,,30052,,-714,,1419,34,595521,28128,21171795,Africa,705,"29,652",36,,,-33.72
,,,,,,,,,,,,,,,,,,,,,
156,Haiti,29217,,786,,24527,,3904,,2514,68,132422,11394,11622290,North America,398,"14,787",88,,,336
,,,,,,,,,,,,,,,,,,,,,
157,Benin,26450,,163,,25506,,781,5,2095,13,604310,47867,12624676,Africa,477,"77,452",21,,,62
,,,,,,,,,,,,,,,,,,,,,
158,Mauritius,26315,80,762,,25046,83,507,,20637,598,358675,281290,1275106,Africa,48,"1,673",4,63,,398
,,,,,,,,,,,,,,,,,,,,,
159,Somalia,25388,,1335,,13182,,10871,,1530,80,400466,24134,16593380,Africa,654,"12,429",41,,,655
,,,,,,,,,,,,,,,,,,,,,
160,Congo,23705,,371,,20178,,3156,,4135,65,347815,60673,5732612,Africa,242,"15,452",16,,,551
,,,,,,,,,,,,,,,,,,,,,
161,New Caledonia,22001,1515,284,1,15108,331,6609,18,75908,980,98964,341446,289838,Australia/Oceania,13,"1,021",3,"5,227",3,"22,802"
,,,,,,,,,,,,,,,,,,,,,
162,Isle of Man,21567,,70,,20938,,559,1,251525,816,150753,1758155,85745,Europe,4,"1,225",1,,,"6,519"
,,,,,,,,,,,,,,,,,,,,,
163,Saint Lucia,20942,,328,,16938,,3676,7,113228,1773,126787,685506,184954,North America,9,564,1,,,"19,875"
,,,,,,,,,,,,,,,,,,,,,
164,Burkina Faso,20624,,366,,20132,,126,,946,17,244335,11204,21808391,Africa,"1,057","59,586",89,,,6
,,,,,,,,,,,,,,,,,,,,,
165,Timor-Leste,20105,159,122,,19746,3,237,,14803,90,226374,166681,1358126,Asia,68,"11,132",6,117,,175
,,,,,,,,,,,,,,,,,,,,,
166,Faeroe Islands,19625,,18,,7693,,11914,5,399231,366,747000,15196208,49157,Europe,3,"2,731",0,,,"242,366"
,,,,,,,,,,,,,,,,,,,,,
167,Taiwan,18850,60,851,,16708,96,1291,,789,36,10489036,439148,23884961,Asia,"1,267","28,067",2,3,,54
,,,,,,,,,,,,,,,,,,,,,
168,Nicaragua,17650,,216,,4225,,13209,,2615,32,,,6749163,North America,382,"31,246",,,,"1,957"
,,,,,,,,,,,,,,,,,,,,,
169,Tajikistan,17318,,124,,17096,,98,,1754,13,,,9876060,Asia,570,"79,646",,,,10
,,,,,,,,,,,,,,,,,,,,,
170,South Sudan,16794,,137,,13077,,3580,1,1473,12,321540,28202,11401215,Africa,679,"83,221",35,,,314
,,,,,,,,,,,,,,,,,,,,,
171,New Zealand,16620,204,53,,14865,55,1702,,3323,11,6051816,1209855,5002100,Australia/Oceania,301,"94,379",1,41,,340
,,,,,,,,,,,,,,,,,,,,,
172,Brunei ,16476,,98,,15920,,458,1,37100,221,705356,1588271,444103,Asia,27,"4,532",1,,,"1,031"
,,,,,,,,,,,,,,,,,,,,,
173,Equatorial Guinea,15802,,182,,15200,,420,5,10708,123,273437,185288,1475739,Africa,93,"8,108",5,,,285
,,,,,,,,,,,,,,,,,,,,,
174,Djibouti,15464,,189,,15198,,77,,15300,187,273937,271034,1010711,Africa,65,"5,348",4,,,76
,,,,,,,,,,,,,,,,,,,,,
175,Hong Kong,14197,,213,,12572,,1412,,1870,28,32291326,4252683,7593165,Asia,535,"35,649",0,,,186
,,,,,,,,,,,,,,,,,,,,,
176,CAR,13919,,110,,6859,,6950,2,2805,22,81294,16382,4962477,Africa,357,"45,113",61,,,"1,401"
,,,,,,,,,,,,,,,,,,,,,
177,Cayman Islands,13788,,15,,8553,,5220,6,205969,224,215963,3226121,66942,North America,5,"4,463",0,,,"77,978"
,,,,,,,,,,,,,,,,,,,,,
178,Gibraltar,12950,,101,,11513,,1336,5,384558,2999,489267,14529087,33675,Europe,3,333,0,,,"39,673"
,,,,,,,,,,,,,,,,,,,,,
179,San Marino,12884,,109,,11132,,1643,2,378451,3202,125140,3675831,34044,Europe,3,312,0,,,"48,261"
,,,,,,,,,,,,,,,,,,,,,
180,Grenada,12336,,210,,10726,,1400,,108833,1853,125854,1110333,113348,North America,9,540,1,,,"12,351"
,,,,,,,,,,,,,,,,,,,,,
181,Gambia,11842,,347,,11138,,357,4,4692,137,135608,53730,2523873,Africa,213,"7,273",19,,,141
,,,,,,,,,,,,,,,,,,,,,
182,Yemen,10961,,2012,,7105,,1844,23,355,65,265253,8594,30863723,Asia,"2,816","15,340",116,,,60
,,,,,,,,,,,,,,,,,,,,,
183,Bermuda,10793,,117,,9751,,925,,174322,1890,760199,12278305,61914,North America,6,529,0,,,"14,940"
,,,,,,,,,,,,,,,,,,,,,
184,Greenland,10707,,5,,2761,,7941,15,188086,88,164707,2893353,56926,North America,5,"11,385",0,,,"139,497"
,,,,,,,,,,,,,,,,,,,,,
185,Eritrea,9536,,98,,9216,,222,,2631,27,23693,6538,3624012,Africa,380,"36,980",153,,,61
,,,,,,,,,,,,,,,,,,,,,
186,Saint Martin,9439,,61,,1399,,7979,7,237710,1536,78366,1973557,39708,North America,4,651,1,,,"200,942"
,,,,,,,,,,,,,,,,,,,,,
187,Sint Maarten,9308,,79,,8611,,618,10,213261,1810,62056,1421803,43646,North America,5,552,1,,,"14,159"
,,,,,,,,,,,,,,,,,,,,,
188,Dominica,9032,,51,,8114,,867,,124978,706,146241,2023565,72269,North America,8,"1,417",0,,,"11,997"
,,,,,,,,,,,,,,,,,,,,,
189,Liechtenstein,9030,102,73,,8609,134,348,2,235764,1906,80413,2099501,38301,Europe,4,525,0,"2,663",,"9,086"
,,,,,,,,,,,,,,,,,,,,,
190,Niger,8652,,298,,8005,,349,1,338,12,217740,8509,25589373,Africa,"2,958","85,870",118,,,14
,,,,,,,,,,,,,,,,,,,,,
191,Monaco,8359,,45,,7980,,334,4,210650,1134,54960,1385011,39682,Europe,5,882,1,,,"8,417"
,,,,,,,,,,,,,,,,,,,,,
192,Comoros,7832,,160,,7648,1,24,,8713,178,,,898867,Africa,115,"5,618",,,,27
,,,,,,,,,,,,,,,,,,,,,
193,Sierra Leone,7623,,125,,N/A,N/A,N/A,,926,15,259958,31574,8233291,Africa,"1,080","65,866",32,,,331
,,,,,,,,,,,,,,,,,,,,,
194,Guinea-Bissau,7586,,156,,6642,,788,6,3716,76,118560,58076,2041473,Africa,269,"13,086",17,,,386
,,,,,,,,,,,,,,,,,,,,,
195,Liberia,7272,,290,,5747,,1235,2,1386,55,139824,26656,5245455,Africa,721,"18,088",38,,,235
,,,,,,,,,,,,,,,,,,,,,
196,Chad,7155,,190,,4874,,2091,,417,11,191341,11144,17170079,Africa,"2,400","90,369",90,,,122
,,,,,,,,,,,,,,,,,,,,,
197,Caribbean Netherlands,7001,,28,,6527,,446,,263116,1052,30126,1132216,26608,North America,4,950,1,,,"16,762"
,,,,,,,,,,,,,,,,,,,,,
198,St. Vincent Grenadines,6685,,94,,5769,,822,17,59957,843,97148,871306,111497,North America,17,"1,186",1,,,"7,372"
,,,,,,,,,,,,,,,,,,,,,
199,Antigua and Barbuda,6627,,127,,6124,,376,1,66797,1280,18901,190513,99211,North America,15,781,5,,,"3,790"
,,,,,,,,,,,,,,,,,,,,,
200,Sao Tome and Principe,5890,,69,,5561,,260,,26109,306,29036,128711,225590,Africa,38,"3,269",8,,,"1,153"
,,,,,,,,,,,,,,,,,,,,,
201,British Virgin Islands,5839,30,49,,N/A,N/A,N/A,12,191136,1604,98247,3216046,30549,North America,5,623,0,982,,"12,996"
,,,,,,,,,,,,,,,,,,,,,
202,Turks and Caicos,5727,,34,,5471,,222,4,144822,860,419792,10615552,39545,North America,7,"1,163",0,,,"5,614"
,,,,,,,,,,,,,,,,,,,,,
203,Saint Kitts and Nevis,5422,,33,,4934,,455,1,100792,613,65141,1210934,53794,North America,10,"1,630",1,,,"8,458"
,,,,,,,,,,,,,,,,,,,,,
204,Bhutan,4891,,4,,3066,,1821,,6230,5,1468625,1870760,785042,Asia,161,"196,261",1,,,"2,320"
,,,,,,,,,,,,,,,,,,,,,
205,St. Barth,3435,,6,,N/A,N/A,N/A,,346096,605,56491,5691788,9925,North America,3,"1,654",0,,,"298,942"
,,,,,,,,,,,,,,,,,,,,,
206,Anguilla,2324,,8,,2258,,58,,152744,526,51382,3377062,15215,North America,7,"1,902",0,,,"3,812"
,,,,,,,,,,,,,,,,,,,,,
207,Palau,1810,177, ,,569,126,1241,9,99287,,21451,1176687,18230,Australia/Oceania,10,,1,"9,709",,"68,075"
,,,,,,,,,,,,,,,,,,,,,
208,Solomon Islands,1486,303,12,3,25,,1449,5,2083,17,5117,7172,713489,Australia/Oceania,480,"59,457",139,425,4,"2,031"
,,,,,,,,,,,,,,,,,,,,,
209,Saint Pierre Miquelon,891,, ,,755,,136,1,154983,,17044,2964690,5749,North America,6,,0,,,"23,656"
,,,,,,,,,,,,,,,,,,,,,
210,Diamond Princess,712,,13,,699,,0,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
211,Kiribati,629,169, ,,,,629,,5141,,,,122346,Australia/Oceania,195,,,"1,381",,"5,141"
,,,,,,,,,,,,,,,,,,,,,
212,Wallis and Futuna,454,,7,,438,,9,,41545,641,20508,1876647,10928,Australia/Oceania,24,"1,561",1,,,824
,,,,,,,,,,,,,,,,,,,,,
213,Montserrat,163,,1,,156,,6,2,32620,200,7796,1560136,4997,North America,31,"4,997",1,,,"1,201"
,,,,,,,,,,,,,,,,,,,,,
214,Falkland Islands,89,, ,,N/A,N/A,N/A,,24451,,8528,2342857,3640,South America,41,,0,,,"1,648"
,,,,,,,,,,,,,,,,,,,,,
215,Macao,79,, ,,79,,0,,119,,5217,7865,663328,Asia,"8,397",,127,,,
,,,,,,,,,,,,,,,,,,,,,
216,Samoa,30,, ,,3,,27,,150,,,,200499,Australia/Oceania,"6,683",,,,,135
,,,,,,,,,,,,,,,,,,,,,
217,Vatican City,29,, ,,28,,1,,36070,,,,804,Europe,28,,,,,"1,244"
,,,,,,,,,,,,,,,,,,,,,
218,Western Sahara,10,,1,,8,,1,,16,2,,,620536,Africa,"62,054","620,536",,,,2
,,,,,,,,,,,,,,,,,,,,,
219,MS Zaandam,9,,2,,7,,0,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
220,Vanuatu,7,,1,,6,,0,,22,3,23000,72218,318482,Australia/Oceania,"45,497","318,482",14,,,
,,,,,,,,,,,,,,,,,,,,,
221,Marshall Islands,7,, ,,7,,0,,117,,,,59822,Australia/Oceania,"8,546",,,,,
,,,,,,,,,,,,,,,,,,,,,
222,Saint Helena,2,, ,,2,,0,,328,,,,6106,Africa,"3,053",,,,,
,,,,,,,,,,,,,,,,,,,,,
223,Micronesia,1,, ,,1,,0,,9,,,,116929,Australia/Oceania,"116,929",,,,,
,,,,,,,,,,,,,,,,,,,,,
224,Tonga,1,, ,,1,,0,,9,,,,107589,Australia/Oceania,"107,589",,,,,
,,,,,,,,,,,,,,,,,,,,,
225,China,106139,66,4636,,99619,119,1884,10,74,3,160000000,111163,1439323776,Asia,"13,561","310,467",9,0.05,,1
,,,,,,,,,,,,,,,,,,,,,
,Total:,89241533,13505,1320854,198,57236742,46065,30683937,29915,,,,,,North America, ,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total:,100616358,207558,1292565,315,93018737,180344,6305056,26501,,,,,,Asia, ,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total:,48660808,3843,1216030,34,41858834,6476,5585944,14923,,,,,,South America, ,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total:,127139615,405839,1618532,1448,95086181,344812,30434902,18728,,,,,,Europe, ,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total:,11029247,5082,239627,24,9846849,1698,942771,2414,,,,,,Africa, ,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total:,2770273,36572,6226,81,2403142,512,360905,422,,,,,,Australia/Oceania, ,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total:,721,,15,,706,,0,0,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total:,379458555,672399,5693849,2100,299451191,579907,74313515,92903,48681,731,,,,All,"
",,,,,
